TEAM_NAME,TEAM_ID,GP,W,L,W_PCT,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TM_TOV_PCT_RANK,E_PACE_RANK,Season
Houston Rockets,1610612745,72,17,55,0.236,3461.0,104.9,112.4,-7.5,103.6,17.2,0.198,0.771,0.472,0.142,1,30,30,30,24,27,28,27,25,28,22,30,22,6,2020-2021
Oklahoma City Thunder,1610612760,72,22,50,0.306,3471.0,101.3,111.9,-10.5,103.1,16.1,0.212,0.779,0.492,0.156,1,26,26,26,19,30,24,30,29,22,14,20,30,7,2020-2021
Memphis Grizzlies,1610612763,72,38,34,0.528,3481.0,109.7,108.5,1.2,102.6,18.9,0.242,0.783,0.51,0.129,1,15,15,15,11,15,6,13,9,6,10,11,6,8,2020-2021
New Orleans Pelicans,1610612740,72,31,41,0.431,3486.0,110.8,111.6,-0.7,102.3,18.3,0.263,0.8,0.531,0.141,1,21,21,21,6,13,23,19,11,1,2,1,21,9,2020-2021
Sacramento Kings,1610612758,72,31,41,0.431,3461.0,111.1,114.6,-3.5,102.2,18.4,0.213,0.75,0.478,0.131,1,21,21,21,24,10,30,24,10,20,29,26,9,10,2020-2021
Brooklyn Nets,1610612751,72,48,24,0.667,3481.0,116.3,110.6,5.7,101.8,19.3,0.214,0.773,0.508,0.133,1,4,4,4,11,1,21,4,5,19,21,12,13,11,2020-2021
Philadelphia 76ers,1610612755,72,49,23,0.681,3486.0,110.8,105.1,5.7,101.8,17.2,0.232,0.782,0.512,0.141,1,3,3,3,6,12,2,4,24,10,11,9,20,11,2020-2021
Toronto Raptors,1610612761,72,27,45,0.375,3461.0,109.3,109.8,-0.5,101.6,17.7,0.208,0.763,0.476,0.13,1,24,24,24,24,16,12,18,19,24,27,29,8,13,2020-2021
Chicago Bulls,1610612741,72,31,41,0.431,3476.0,108.7,109.9,-1.2,101.1,19.2,0.223,0.803,0.516,0.149,1,21,21,21,16,20,13,20,8,15,1,7,27,14,2020-2021
San Antonio Spurs,1610612759,72,33,39,0.458,3496.0,108.6,110.7,-2.1,101.0,17.9,0.2,0.773,0.481,0.111,1,19,19,19,1,21,22,22,16,27,20,25,2,15,2020-2021
Portland Trail Blazers,1610612757,72,42,30,0.583,3461.0,114.9,113.4,1.5,100.8,15.9,0.23,0.775,0.495,0.11,1,8,8,8,24,5,29,12,30,11,19,16,1,16,2020-2021
Los Angeles Lakers,1610612747,72,42,30,0.583,3491.0,107.5,104.8,2.7,100.8,18.0,0.225,0.797,0.513,0.149,1,8,8,8,4,24,1,8,15,14,4,8,28,16,2020-2021
Utah Jazz,1610612762,72,52,20,0.722,3471.0,115.1,105.7,9.4,100.8,17.3,0.245,0.793,0.531,0.14,1,1,1,1,19,3,3,1,22,3,5,2,19,16,2020-2021
Orlando Magic,1610612753,72,21,51,0.292,3466.0,102.9,112.1,-9.2,100.8,16.3,0.216,0.782,0.49,0.127,1,28,28,28,22,29,25,29,28,18,12,23,5,16,2020-2021
Boston Celtics,1610612738,72,36,36,0.5,3476.0,111.0,110.0,0.9,100.7,17.1,0.243,0.781,0.51,0.139,1,16,16,16,16,11,15,15,26,5,13,10,18,20,2020-2021
Charlotte Hornets,1610612766,72,33,39,0.458,3471.0,108.1,110.6,-2.5,100.6,19.2,0.235,0.757,0.492,0.147,1,19,19,19,19,23,20,23,7,8,28,19,25,21,2020-2021
Detroit Pistons,1610612765,72,20,52,0.278,3486.0,105.4,110.3,-4.9,100.1,17.8,0.219,0.769,0.491,0.148,1,29,29,29,6,26,16,25,18,17,23,22,26,22,2020-2021
Atlanta Hawks,1610612737,72,41,31,0.569,3481.0,113.0,110.6,2.5,99.9,17.6,0.244,0.778,0.517,0.132,1,11,11,11,11,8,19,9,20,4,16,6,11,23,2020-2021
Cleveland Cavaliers,1610612739,72,22,50,0.306,3486.0,103.1,112.1,-8.9,99.6,17.5,0.236,0.766,0.494,0.154,1,26,26,26,6,28,26,28,21,7,26,18,29,24,2020-2021
Dallas Mavericks,1610612742,72,42,30,0.583,3461.0,112.9,110.4,2.5,99.5,17.2,0.211,0.778,0.496,0.121,1,8,8,8,24,9,17,9,23,23,17,15,3,25,2020-2021
Phoenix Suns,1610612756,72,51,21,0.708,3496.0,114.9,108.8,6.1,99.3,19.6,0.208,0.785,0.501,0.125,1,2,2,2,1,4,9,3,1,25,9,14,4,26,2020-2021
Denver Nuggets,1610612743,72,47,25,0.653,3496.0,114.2,110.0,4.2,99.3,19.3,0.247,0.789,0.519,0.134,1,5,5,5,1,7,14,7,4,2,7,4,15,26,2020-2021
LA Clippers,1610612746,72,47,25,0.653,3456.0,115.2,108.7,6.6,99.1,18.1,0.227,0.791,0.517,0.133,1,5,5,5,30,2,8,2,12,12,6,5,14,28,2020-2021
Miami Heat,1610612748,72,40,32,0.556,3476.0,109.1,108.5,0.6,98.7,19.5,0.194,0.779,0.492,0.142,1,13,13,13,16,17,7,16,3,29,15,21,23,29,2020-2021
New York Knicks,1610612752,72,41,31,0.569,3486.0,108.2,105.7,2.5,98.2,16.3,0.219,0.786,0.506,0.131,1,11,11,11,6,22,4,9,27,16,8,13,10,30,2020-2021
Minnesota Timberwolves,1610612750,82,46,36,0.561,3956.0,111.3,109.1,2.1,103.5,18.1,0.244,0.749,0.49,0.138,1,12,12,12,13,9,13,11,12,7,27,20,16,1,2021-2022
Houston Rockets,1610612745,82,20,62,0.244,3951.0,105.4,114.4,-9.0,103.3,17.1,0.217,0.744,0.479,0.158,1,30,30,30,19,27,30,30,25,22,29,30,30,2,2021-2022
Memphis Grizzlies,1610612763,82,56,26,0.683,3956.0,111.6,106.2,5.4,103.1,17.9,0.3,0.778,0.533,0.127,1,2,2,2,13,8,4,5,15,1,10,1,6,3,2021-2022
San Antonio Spurs,1610612759,82,34,48,0.415,3961.0,109.4,110.0,-0.6,102.4,19.5,0.237,0.751,0.492,0.123,1,22,22,22,8,17,16,20,4,11,26,19,2,4,2021-2022
Charlotte Hornets,1610612766,82,43,39,0.524,3976.0,111.7,111.0,0.7,102.3,19.6,0.233,0.748,0.487,0.128,1,16,16,16,3,7,22,16,2,14,28,23,9,5,2021-2022
Los Angeles Lakers,1610612747,82,33,49,0.402,3996.0,107.9,110.9,-3.0,102.3,17.3,0.211,0.758,0.486,0.14,1,23,23,23,1,23,21,23,22,25,22,24,20,5,2021-2022
Milwaukee Bucks,1610612749,82,51,31,0.622,3951.0,112.5,109.4,3.1,102.2,17.3,0.23,0.786,0.514,0.131,1,6,6,6,19,4,14,8,21,15,3,5,10,7,2021-2022
Sacramento Kings,1610612758,82,30,52,0.366,3961.0,107.2,112.9,-5.7,102.1,17.3,0.213,0.76,0.484,0.137,1,24,24,24,8,25,27,25,23,23,21,27,15,8,2021-2022
Phoenix Suns,1610612756,82,64,18,0.78,3946.0,112.5,104.7,7.8,102.0,19.5,0.223,0.771,0.505,0.127,1,1,1,1,24,3,3,2,5,19,13,12,5,9,2021-2022
