,Team,Win%,Wins,Losses,new_year
660,Knicks,0.39,32,50,2015
661,Knicks,0.207,17,65,2014
662,Knicks,0.451,37,45,2013
663,Knicks,0.659,54,28,2012
664,Knicks,0.545,36,30,2011
665,Knicks,0.512,42,40,2010
666,Knicks,0.354,29,53,2009
667,Knicks,0.39,32,50,2008
668,Knicks,0.28,23,59,2007
669,Knicks,0.402,33,49,2006
670,Knicks,0.28,23,59,2005
671,Knicks,0.402,33,49,2004
672,Knicks,0.476,39,43,2003
673,Knicks,0.451,37,45,2002
674,Knicks,0.366,30,52,2001
675,Knicks,0.585,48,34,2000
676,Knicks,0.61,50,32,1999
677,Knicks,0.54,27,23,1998
678,Knicks,0.524,43,39,1997
679,Knicks,0.695,57,25,1996
680,Knicks,0.573,47,35,1995
681,Knicks,0.671,55,27,1994
682,Knicks,0.695,57,25,1993
683,Knicks,0.732,60,22,1992
684,Knicks,0.622,51,31,1991
685,Knicks,0.476,39,43,1990
686,Knicks,0.549,45,37,1989
687,Knicks,0.634,52,30,1988
688,Knicks,0.463,38,44,1987
689,Knicks,0.293,24,58,1986
690,Knicks,0.28,23,59,1985
691,Knicks,0.293,24,58,1984
692,Knicks,0.573,47,35,1983
693,Knicks,0.537,44,38,1982
694,Knicks,0.402,33,49,1981
695,Knicks,0.61,50,32,1980
696,Thunder,0.585,48,34,2017
697,Thunder,0.573,47,35,2016
698,Thunder,0.671,55,27,2015
699,Thunder,0.549,45,37,2014
700,Thunder,0.72,59,23,2013
701,Thunder,0.732,60,22,2012
702,Thunder,0.712,47,19,2011
703,Thunder,0.671,55,27,2010
704,Thunder,0.61,50,32,2009
705,Thunder,0.28,23,59,2008
706,Supersonics,0.244,20,62,2007
707,Supersonics,0.378,31,51,2006
708,Supersonics,0.427,35,47,2005
709,Supersonics,0.634,52,30,2004
710,Supersonics,0.451,37,45,2003
711,Supersonics,0.488,40,42,2002
712,Supersonics,0.549,45,37,2001
713,Supersonics,0.537,44,38,2000
714,Supersonics,0.549,45,37,1999
715,Supersonics,0.5,25,25,1998
716,Supersonics,0.744,61,21,1997
